N,P,K,temperature,humidity,ph,rainfall,label
81,80,32,13.6,95.27,8.52,101.74,pomegranate
36,86,78,35.34,88.68,8.76,122.46,pomegranate
77,5,23,43.65,36.69,4.19,183.75,pomegranate
49,73,87,39.93,47.05,6.07,288.69,pomegranate
114,33,34,40.71,20.6,4.55,87.82,pomegranate
139,138,122,24.89,39.48,7.63,299.46,pomegranate
14,136,143,26.12,57.74,7.61,97.73,pomegranate
125,58,95,19.79,52.23,3.66,31.4,pomegranate
27,119,121,13.05,39.25,4.74,132.7,pomegranate
112,14,157,29.42,60.82,8.72,299.38,pomegranate
18,88,145,18.93,26.93,7.1,217.22,pomegranate
19,99,182,32.68,42.34,4.16,189.38,pomegranate
8,18,155,22.24,61.95,9.24,98.32,pomegranate
124,88,54,11.52,37.15,5.83,233.28,pomegranate
79,94,124,16.24,41.93,7.63,140.4,pomegranate
4,136,37,39.33,76.61,5.66,49.19,pomegranate
43,16,166,17.93,46.63,8.28,201.94,pomegranate
44,67,189,37.65,72.43,9.52,131.85,pomegranate
32,75,103,32.44,53.2,3.9,116.75,pomegranate
62,21,140,22.8,39.98,9.42,129.81,pomegranate
10,64,83,28.61,51.79,9.11,119.98,pomegranate
3,56,35,34.84,89.32,6.92,217.7,pomegranate
73,33,19,15.44,83.23,6.14,137.08,pomegranate
120,143,94,42.23,87.67,7.21,244.27,pomegranate
7,66,73,18.16,66.06,3.53,246.48,pomegranate
54,18,63,20.33,19.73,4.43,27.15,pomegranate
78,128,190,17.38,39.58,9.04,204.21,pomegranate
114,117,160,11.8,86.59,7.8,138.29,pomegranate
8,116,120,34.77,33.92,3.78,288.65,pomegranate
63,66,153,43.26,47.28,9.8,85.01,pomegranate
43,21,92,17.48,50.34,8.7,61.48,pomegranate
56,52,147,16.02,92.38,6.27,81.09,pomegranate
44,139,8,30.41,46.57,9.04,25.71,pomegranate
36,45,35,41.23,61.97,7.2,63.17,pomegranate
2,95,73,31.0,27.01,9.62,85.01,pomegranate
45,124,193,12.79,77.49,8.21,86.23,pomegranate
20,36,83,24.04,35.87,6.85,162.58,pomegranate
27,32,66,17.61,32.78,8.11,204.51,pomegranate
108,12,38,25.12,32.45,5.18,177.95,pomegranate
3,47,76,37.71,54.55,7.75,94.85,pomegranate
76,30,118,41.66,25.37,9.01,236.61,pomegranate
35,111,186,22.36,73.86,5.94,171.9,pomegranate
98,51,77,26.14,93.24,6.82,167.44,pomegranate
132,46,71,14.82,27.15,8.67,177.19,pomegranate
69,54,83,35.68,88.44,6.66,66.47,pomegranate
32,89,141,40.61,94.13,4.4,97.02,pomegranate
66,65,18,39.88,45.73,7.78,167.33,pomegranate
5,144,23,20.92,97.56,5.6,23.84,pomegranate
56,138,62,35.49,62.6,6.23,49.32,pomegranate
139,106,30,18.88,38.08,4.27,202.52,pomegranate
84,86,186,26.86,40.92,9.44,135.77,pomegranate
95,94,51,19.61,18.72,9.03,285.34,pomegranate
66,35,37,18.38,82.84,8.81,297.84,pomegranate
38,114,79,15.2,99.59,8.78,95.55,pomegranate
136,129,193,35.33,33.9,6.91,151.22,pomegranate
59,104,126,19.65,54.95,6.4,40.33,pomegranate
16,118,24,32.12,72.7,9.54,158.39,pomegranate
99,61,15,38.07,88.29,7.51,287.5,pomegranate
69,116,59,24.81,63.65,8.67,135.34,pomegranate
127,81,119,35.44,84.93,4.59,226.21,pomegranate
8,15,6,40.1,93.34,9.24,93.48,pomegranate
54,135,15,14.71,83.16,6.34,48.9,pomegranate
71,28,179,12.22,17.99,5.69,210.66,pomegranate
92,26,54,34.51,39.7,4.11,243.14,pomegranate
31,86,104,38.59,37.31,4.21,20.73,pomegranate
122,113,131,17.52,45.21,6.26,280.26,pomegranate
15,38,63,36.69,25.12,7.48,206.39,pomegranate
42,54,5,30.9,90.65,8.76,150.93,banana
100,8,129,15.57,85.85,7.07,158.35,banana
75,83,23,32.57,78.27,5.07,69.03,banana
75,102,143,26.8,81.35,7.32,164.12,banana
138,104,159,29.29,23.87,8.22,210.11,banana
49,55,38,42.42,47.81,4.92,243.95,banana
125,126,141,16.16,60.39,5.67,106.61,banana
20,46,144,33.97,72.7,9.82,200.19,banana
59,106,17,12.11,45.73,5.59,242.93,banana
85,130,134,41.32,22.83,4.11,174.08,banana
122,85,69,21.68,22.08,8.3,258.26,banana
68,64,72,12.78,21.69,8.29,134.14,banana
110,112,11,30.13,22.85,6.36,244.95,banana
110,18,136,20.77,34.02,8.85,138.19,banana
122,119,104,31.52,85.76,5.57,38.34,banana
6,101,39,35.13,79.14,9.77,83.73,banana
54,96,93,24.69,71.83,5.29,114.93,banana
103,68,14,29.37,91.84,4.08,208.42,banana
132,131,105,33.15,47.72,5.68,20.02,banana
21,130,146,36.5,96.97,6.44,66.68,banana
111,117,39,28.92,77.94,8.56,135.95,banana
53,126,62,17.8,35.66,5.97,280.94,banana
5,90,149,22.46,41.31,7.71,293.69,banana
117,138,130,34.62,21.42,5.07,53.02,banana
3,85,167,44.26,44.2,7.38,222.41,banana
119,44,17,43.29,35.71,7.92,192.77,banana
88,68,204,34.25,41.97,5.38,199.59,banana
75,136,150,11.93,46.92,4.97,59.27,banana
26,101,17,37.45,54.21,5.37,117.62,banana
11,9,137,14.4,27.04,7.55,157.56,banana
104,8,203,26.66,44.19,5.24,110.23,banana
136,134,193,23.37,31.87,7.1,162.16,banana
87,113,125,44.24,98.0,9.62,188.02,banana
22,18,97,14.58,64.39,6.58,57.83,banana
10,19,35,17.04,85.21,7.18,31.86,banana
92,104,82,44.22,30.82,7.62,279.33,banana
74,115,15,38.4,67.39,7.84,181.62,banana
27,120,142,20.75,61.32,4.21,172.21,banana
4,65,33,20.14,93.19,6.56,83.5,banana
28,110,70,23.56,29.21,9.0,298.7,banana
133,27,40,27.51,68.47,6.24,290.83,banana
126,90,81,28.42,53.67,8.07,64.82,banana
116,100,38,22.59,53.59,5.92,141.09,banana
138,123,167,32.76,79.33,5.06,102.35,banana
109,111,55,21.49,59.74,5.99,247.12,banana
29,69,43,43.94,38.12,9.59,178.21,banana
134,61,192,37.07,29.66,3.7,160.32,banana
92,47,169,14.41,72.58,5.67,124.57,banana
6,111,176,19.86,96.45,7.71,77.72,banana
110,131,129,20.65,34.22,7.46,20.75,banana
52,55,190,11.7,19.92,6.6,264.46,banana
75,63,163,39.85,49.37,6.61,90.6,banana
41,43,79,10.42,90.49,6.23,291.36,banana
0,85,134,12.08,21.78,6.18,183.5,banana
45,102,192,38.91,69.83,7.98,225.87,banana
133,137,98,30.98,77.94,9.71,297.14,banana
56,122,29,24.83,71.8,4.63,223.91,banana
35,96,49,26.78,81.7,8.03,112.85,banana
105,51,197,43.19,62.12,7.11,144.28,banana
60,51,75,26.75,58.26,8.08,21.52,banana
86,24,64,30.36,59.17,9.63,90.49,banana
60,73,193,42.0,55.39,3.6,69.83,banana
8,93,189,39.31,57.95,9.19,164.27,banana
69,66,155,31.44,48.07,8.28,223.8,banana
114,35,66,16.45,99.81,9.24,239.51,banana
83,113,167,25.12,51.94,6.74,160.51,banana
0,44,62,16.44,79.69,8.4,295.78,banana
16,46,133,28.84,52.19,9.66,52.26,banana
122,60,40,19.58,28.45,8.89,271.72,banana
32,30,182,17.08,38.3,4.65,180.05,banana
130,44,146,30.45,87.14,6.18,193.3,banana
15,141,33,15.72,25.2,6.25,184.35,banana
0,90,105,12.01,89.09,5.98,155.01,banana
38,52,121,11.48,51.68,6.81,284.61,banana
87,79,88,21.07,20.61,8.92,77.6,banana
33,126,50,41.84,71.53,5.64,289.78,banana
50,125,175,20.8,37.94,5.08,181.15,banana
128,50,44,38.65,36.7,8.24,66.58,banana
49,80,106,41.99,94.69,4.39,112.08,banana
81,140,78,13.18,83.78,5.92,133.24,banana
101,26,164,24.1,57.5,3.7,151.79,banana
53,82,134,15.46,29.48,4.45,37.84,banana
90,98,22,19.84,75.38,9.75,170.37,banana
52,115,147,38.39,85.06,6.15,172.2,banana
52,67,121,41.73,94.79,5.12,171.37,banana
62,8,115,30.46,28.65,3.82,270.38,banana
107,78,166,41.81,89.21,6.62,44.49,banana
11,126,63,44.5,14.92,9.08,182.28,banana
61,15,68,32.7,19.06,9.64,152.71,banana
138,50,86,19.57,41.37,4.41,213.57,banana
30,24,7,40.2,26.99,8.09,199.31,banana
85,7,115,34.98,67.17,8.18,220.52,banana
130,137,174,22.88,42.86,9.02,55.29,banana
27,117,22,40.26,23.89,5.42,166.74,banana
139,117,142,10.36,23.02,4.7,86.7,banana
61,48,74,18.11,48.89,3.6,211.03,banana
136,129,43,43.55,74.41,9.45,253.29,banana
66,130,96,42.13,76.13,4.93,158.26,banana
24,110,82,41.02,89.15,7.4,141.72,banana
25,30,35,18.46,50.28,6.05,24.59,banana
55,59,59,38.44,43.29,8.79,222.13,mango
24,16,70,29.57,37.95,4.55,103.16,mango
117,118,27,11.21,32.08,4.32,263.02,mango
84,39,7,38.6,50.74,7.0,295.93,mango
14,108,111,11.36,57.2,8.08,62.48,mango
65,53,202,36.1,17.25,6.51,288.64,mango
28,29,64,42.37,16.02,3.56,291.02,mango
113,38,83,38.99,65.42,9.64,111.3,mango
7,101,89,24.12,81.38,3.68,99.26,mango
99,15,156,15.96,79.55,4.28,200.7,mango
134,86,70,16.37,60.05,5.1,234.66,mango
59,101,76,41.72,15.92,7.45,271.93,mango
79,102,96,40.16,37.76,4.02,280.06,mango
20,74,94,14.47,91.55,8.96,130.34,mango
104,115,201,17.38,34.09,5.97,47.7,mango
38,137,31,14.95,84.69,9.78,279.76,mango
119,32,149,37.63,23.92,8.78,79.45,mango
109,68,81,16.18,74.68,8.01,264.73,mango
57,77,36,43.0,73.51,9.81,183.12,mango
113,9,30,20.27,86.94,6.37,235.07,mango
88,95,29,34.4,19.28,5.36,285.5,mango
88,7,49,14.2,48.75,4.13,177.69,mango
40,17,110,10.38,30.67,4.1,241.26,mango
31,45,163,40.35,43.01,5.66,134.22,mango
21,17,195,42.3,60.48,4.0,231.88,mango
44,18,140,42.04,56.18,3.52,217.74,mango
116,122,184,41.65,60.04,6.68,139.15,mango
76,73,103,26.78,20.52,6.69,126.45,mango
60,108,108,39.66,16.05,5.78,76.47,mango
42,139,155,20.84,17.84,9.05,121.22,mango
135,109,125,20.43,71.23,4.52,219.22,mango
15,131,91,25.96,67.48,3.66,111.65,mango
3,31,173,37.85,36.25,8.32,229.84,mango
90,54,177,19.3,69.52,6.36,186.27,mango
99,7,203,33.15,51.23,8.6,266.35,mango
75,26,185,37.52,32.92,7.69,212.09,mango
47,112,187,34.58,37.8,7.74,150.42,mango
22,39,153,39.37,16.64,3.97,120.85,mango
132,97,11,44.9,18.33,9.46,169.98,mango
128,41,123,25.18,20.04,4.33,236.01,mango
62,68,112,41.76,16.67,9.46,20.37,mango
114,20,86,15.13,21.09,6.37,43.38,mango
139,125,146,32.15,72.87,5.72,254.85,mango
49,93,102,14.04,71.69,6.29,30.78,mango
124,10,172,13.2,45.76,9.12,180.44,mango
86,81,199,34.56,98.29,9.48,115.49,mango
36,142,35,43.98,91.05,3.93,153.59,mango
136,35,10,26.86,50.14,4.77,206.41,mango
124,106,127,42.35,55.31,9.42,155.64,mango
139,70,95,29.63,91.27,7.8,299.61,mango
100,64,103,21.27,83.92,6.93,110.26,mango
107,106,78,42.22,59.17,8.18,179.93,mango
41,100,52,41.74,74.23,7.01,65.15,mango
129,82,73,24.72,32.07,5.99,206.77,mango
85,123,68,36.92,40.1,4.33,126.88,mango
44,108,149,40.49,87.1,4.94,239.98,mango
129,139,89,23.13,29.87,9.32,172.95,mango
117,117,146,21.63,39.16,6.55,91.46,mango
72,91,163,41.31,99.25,6.07,237.69,mango
14,45,137,28.67,20.91,4.21,174.69,mango
49,5,146,19.76,54.03,8.47,169.68,mango
58,57,31,20.73,87.78,4.81,242.96,mango
58,46,36,20.76,85.86,7.09,256.89,mango
62,31,72,38.05,60.8,7.25,103.15,mango
107,54,159,38.76,93.2,6.9,190.3,mango
96,135,199,17.42,49.1,6.28,260.83,mango
47,21,201,41.91,83.3,9.52,224.1,mango
29,40,78,32.92,66.52,9.89,72.09,mango
5,58,144,12.61,85.97,9.74,97.19,mango
16,48,198,13.0,33.03,3.59,275.72,mango
50,29,29,34.74,87.76,9.03,133.08,mango
41,55,126,12.04,51.28,7.87,278.14,mango
29,33,168,34.47,69.75,5.89,270.38,mango
40,45,56,39.35,44.08,4.48,245.1,mango
99,76,109,24.97,73.97,7.48,27.94,mango
71,77,140,24.78,90.65,3.67,183.54,mango
75,51,89,18.44,63.28,7.76,214.33,mango
69,90,185,11.68,60.28,8.85,266.75,mango
10,105,24,31.63,18.64,6.01,222.27,mango
48,109,147,19.2,80.83,8.54,246.48,mango
25,88,127,34.24,52.1,4.35,201.61,mango
130,22,133,44.92,45.4,6.78,151.2,mango
15,85,161,27.04,76.4,3.94,98.36,mango
34,137,163,11.84,26.33,6.68,100.62,mango
34,127,52,32.61,37.2,5.91,138.98,mango
4,74,107,21.13,54.48,4.69,133.46,mango
47,138,57,35.23,62.27,4.08,282.39,mango
4,40,98,20.69,42.5,5.78,51.48,mango
116,144,160,16.57,14.07,3.63,253.06,mango
89,90,56,41.1,70.93,4.76,276.81,mango
45,107,141,43.11,63.32,6.85,28.0,mango
105,117,15,21.26,89.07,8.61,61.48,mango
48,81,111,40.83,95.19,6.37,286.98,mango
114,54,33,34.27,91.15,3.85,116.07,mango
20,54,31,38.74,79.0,9.23,267.68,mango
31,124,38,44.45,79.67,5.6,165.69,mango
58,109,37,36.25,28.59,4.91,214.54,mango
66,46,42,14.2,38.43,7.29,199.1,mango
8,91,175,27.26,59.07,4.21,132.9,mango
65,33,159,32.65,96.19,9.44,284.85,mango
34,81,99,26.87,62.92,8.87,40.56,grapes
21,29,35,10.94,66.74,5.8,196.38,grapes
129,130,147,42.14,41.44,7.56,221.55,grapes
32,31,33,34.44,19.06,6.58,92.31,grapes
63,24,48,27.9,97.02,8.48,49.45,grapes
9,36,113,21.97,95.15,6.05,298.6,grapes
18,43,198,35.62,95.43,8.9,253.26,grapes
79,114,99,41.19,54.22,7.86,117.96,grapes
58,6,96,18.94,79.57,7.43,135.29,grapes
14,117,160,26.81,25.47,3.63,198.05,grapes
96,60,53,22.55,14.41,6.66,242.74,grapes
34,29,107,24.03,97.15,9.28,164.53,grapes
134,7,40,27.93,59.21,6.28,150.56,grapes
64,98,173,16.21,78.52,8.66,270.5,grapes
4,73,165,41.44,61.11,6.0,231.31,grapes
60,76,144,17.76,47.16,5.61,267.29,grapes
38,119,183,24.2,51.25,6.18,105.92,grapes
85,137,32,28.52,43.47,9.12,183.58,grapes
3,76,204,19.07,99.71,3.74,97.38,grapes
78,119,12,44.79,89.92,7.46,243.66,grapes
13,16,196,34.42,86.99,3.89,136.61,grapes
93,122,50,37.65,73.82,3.52,250.41,grapes
81,129,8,24.21,35.12,6.21,81.7,grapes
37,110,79,34.36,59.03,5.92,145.64,grapes
11,82,200,16.11,14.48,4.66,44.87,grapes
100,47,200,17.84,38.74,6.89,288.52,grapes
34,134,56,19.28,52.0,6.99,275.41,grapes
130,117,64,24.24,96.52,7.03,34.25,grapes
88,21,159,16.14,98.1,6.48,281.73,grapes
65,73,198,36.62,45.53,6.32,220.33,grapes
71,109,96,39.39,72.19,9.42,142.32,grapes
62,95,187,40.81,84.73,9.31,145.4,grapes
93,32,38,31.67,43.02,9.25,237.92,grapes
80,29,180,44.75,25.62,6.1,259.97,grapes
60,110,94,36.49,87.08,8.05,86.7,grapes
19,30,6,14.03,42.24,5.6,172.38,grapes
77,60,140,40.26,68.59,9.66,257.98,grapes
41,34,157,14.3,92.56,5.73,245.58,grapes
81,95,47,12.56,70.3,8.05,259.66,grapes
4,60,23,30.77,21.29,4.1,40.81,grapes
16,16,204,37.8,79.09,7.98,26.05,grapes
82,130,68,15.79,96.09,6.1,181.86,grapes
41,121,63,24.65,45.03,7.09,207.97,grapes
33,113,51,26.5,23.32,7.23,181.49,grapes
57,64,91,28.58,24.92,5.99,93.94,grapes
91,79,191,24.26,77.26,3.93,223.3,grapes
129,43,23,42.38,97.53,3.69,20.04,grapes
48,64,48,44.05,23.58,6.27,170.74,grapes
126,84,131,17.08,55.77,7.78,93.06,grapes
68,73,132,13.43,57.3,7.61,265.14,grapes
36,96,49,31.44,25.22,9.72,63.98,grapes
133,54,32,40.4,47.63,9.69,39.07,grapes
133,131,54,44.67,55.44,4.82,41.31,grapes
62,94,119,18.55,61.29,7.95,205.62,grapes
26,46,149,30.26,78.83,8.78,256.42,grapes
36,89,30,32.85,74.14,9.54,197.06,grapes
96,85,107,24.92,49.82,7.54,210.99,grapes
60,114,73,34.38,62.06,5.53,113.51,grapes
97,42,29,27.74,46.47,8.08,167.8,grapes
84,34,25,42.72,43.57,4.69,116.11,grapes
120,133,126,22.79,24.66,7.13,249.3,grapes
102,144,103,22.0,21.93,5.46,211.8,grapes
86,89,200,25.28,76.45,8.34,56.06,grapes
41,8,31,43.67,26.95,7.74,163.25,grapes
56,35,45,21.74,55.19,3.93,180.42,grapes
105,60,165,13.39,34.82,4.87,70.8,grapes
133,130,111,23.51,64.62,3.63,165.04,grapes
108,46,53,44.22,15.07,8.11,217.24,grapes
79,21,125,16.1,91.35,5.09,217.62,grapes
71,121,69,41.01,42.97,8.19,159.98,grapes
13,12,186,42.53,77.77,5.28,28.18,grapes
101,51,79,21.75,80.78,6.77,80.84,grapes
83,68,124,33.65,89.86,8.91,257.03,grapes
57,80,113,26.45,89.63,8.94,185.03,grapes
136,36,94,41.96,16.38,8.51,253.42,grapes
16,144,170,31.91,98.66,7.67,262.8,grapes
16,136,188,22.59,83.67,6.36,254.69,grapes
44,64,78,36.16,20.12,7.48,185.54,grapes
80,78,97,25.74,56.51,6.07,116.71,grapes
85,131,46,33.12,87.71,6.16,168.01,grapes
139,7,151,39.26,44.96,7.91,31.31,grapes
131,86,145,29.8,45.15,5.47,35.65,grapes
62,60,122,23.75,56.2,6.02,175.33,grapes
28,56,24,44.77,44.78,9.24,169.52,grapes
91,21,202,33.85,46.32,8.66,117.68,grapes
50,10,75,14.68,27.16,8.0,104.31,grapes
104,32,6,13.82,79.8,9.36,67.31,grapes
37,100,135,35.17,99.46,8.63,184.41,grapes
27,26,189,32.88,95.21,4.0,41.82,grapes
0,136,76,23.8,17.88,5.43,245.81,grapes
14,66,141,30.79,36.14,6.74,88.07,grapes
56,87,37,32.85,93.88,8.97,28.73,grapes
86,84,97,13.83,22.96,8.57,245.04,grapes
111,70,193,33.9,74.54,3.86,163.85,grapes
129,47,192,22.89,93.01,4.82,203.83,grapes
87,5,19,13.54,88.51,9.26,143.8,grapes
81,100,125,20.6,88.44,9.74,26.03,grapes
90,50,201,20.45,41.45,9.78,94.16,grapes
97,106,31,30.23,30.0,3.92,208.82,grapes
86,106,203,17.61,16.45,5.55,55.53,grapes
80,101,10,24.26,52.87,8.35,295.14,watermelon
22,123,97,40.39,83.57,6.91,92.64,watermelon
19,27,71,39.28,46.82,3.72,140.93,watermelon
122,82,7,14.3,26.15,7.31,71.6,watermelon
136,49,166,21.02,33.8,4.46,220.26,watermelon
25,103,190,19.49,94.5,4.23,23.65,watermelon
86,127,20,43.84,78.98,6.65,169.56,watermelon
92,39,44,11.14,67.59,7.62,189.88,watermelon
31,13,72,35.44,58.52,4.26,173.17,watermelon
24,26,113,42.69,53.0,8.56,122.69,watermelon
26,90,34,20.22,56.26,3.69,184.71,watermelon
8,51,54,30.09,73.99,5.44,294.36,watermelon
79,130,148,18.33,27.91,9.28,168.31,watermelon
53,74,27,22.13,23.56,4.11,168.96,watermelon
52,110,62,32.03,58.81,5.63,89.65,watermelon
60,118,21,39.41,65.04,9.71,151.35,watermelon
56,43,201,11.11,18.33,8.57,45.52,watermelon
52,129,72,27.58,25.97,6.42,54.87,watermelon
98,75,111,10.57,31.28,5.13,180.56,watermelon
134,7,122,19.5,85.79,9.08,296.59,watermelon
34,113,176,15.97,25.97,9.38,29.91,watermelon
48,51,48,12.17,34.63,6.69,184.52,watermelon
78,51,201,34.87,37.01,7.27,33.5,watermelon
60,120,143,15.76,47.9,5.06,81.53,watermelon
52,95,149,24.08,76.39,6.35,215.11,watermelon
76,141,44,10.43,64.67,6.69,221.86,watermelon
136,18,180,39.83,91.17,3.68,154.91,watermelon
80,75,56,36.67,20.46,8.74,102.31,watermelon
48,11,186,28.73,69.53,8.02,111.87,watermelon
40,5,145,14.73,48.77,4.44,142.53,watermelon
83,56,194,42.91,79.61,9.0,285.28,watermelon
127,115,31,38.72,80.87,6.27,63.38,watermelon
62,103,108,20.36,36.22,6.83,168.16,watermelon
74,53,164,33.77,97.83,8.98,285.06,watermelon
75,6,174,11.88,25.38,8.66,87.28,watermelon
107,55,191,10.95,73.12,5.68,252.48,watermelon
6,136,191,39.78,82.74,9.74,163.22,watermelon
106,126,108,19.09,29.66,6.16,28.66,watermelon
95,86,72,39.11,30.9,4.09,89.62,watermelon
61,46,54,25.16,95.39,5.24,246.63,watermelon
68,74,35,23.48,29.48,9.19,228.65,watermelon
20,67,58,13.56,93.28,8.89,91.61,watermelon
64,91,39,25.19,71.84,6.48,188.92,watermelon
115,68,176,29.34,58.42,8.05,84.44,watermelon
86,103,126,39.08,89.51,6.99,85.22,watermelon
13,139,65,35.11,38.69,7.38,114.6,watermelon
81,29,168,19.71,40.52,7.83,61.32,watermelon
85,7,9,37.75,22.85,3.69,139.46,watermelon
135,137,118,15.3,93.76,8.94,155.88,watermelon
3,106,167,40.26,22.36,5.64,163.9,watermelon
23,133,11,27.24,52.26,5.99,192.67,watermelon
102,136,47,21.3,91.25,4.09,65.94,watermelon
10,75,153,24.7,74.28,5.16,111.54,watermelon
6,100,65,15.59,17.3,7.75,219.18,watermelon
93,11,41,16.43,48.61,3.82,102.9,watermelon
33,18,56,15.47,81.58,6.52,70.37,watermelon
20,109,88,19.58,41.66,9.57,146.14,watermelon
44,59,27,34.28,95.01,4.22,220.07,watermelon
18,114,128,36.8,67.67,4.68,56.83,watermelon
62,108,36,21.37,85.1,4.27,246.34,watermelon
125,134,181,19.37,24.12,6.41,281.33,watermelon
96,67,81,12.61,16.7,7.85,197.43,watermelon
82,75,120,11.44,50.35,5.59,195.37,watermelon
64,34,81,26.53,34.21,3.84,299.64,watermelon
12,64,16,11.73,85.6,6.1,179.32,watermelon
90,102,173,34.45,93.12,8.06,213.22,watermelon
101,102,161,11.09,96.11,5.4,85.54,watermelon
51,137,145,35.11,41.37,4.72,239.13,watermelon
115,122,55,15.01,88.56,9.21,33.49,watermelon
139,26,59,20.28,75.79,8.83,197.08,watermelon
125,111,97,26.84,65.81,8.65,201.43,watermelon
39,30,159,21.09,81.49,6.14,246.89,watermelon
56,32,53,34.22,38.06,7.53,141.13,watermelon
88,26,59,35.69,17.7,4.98,56.0,watermelon
12,130,33,23.2,17.7,5.08,281.67,watermelon
114,68,120,32.67,72.67,7.2,104.45,watermelon
62,49,92,36.52,24.29,4.52,103.2,watermelon
23,116,204,19.78,20.19,6.08,29.03,watermelon
132,113,32,24.89,98.41,4.13,74.51,watermelon
77,57,51,29.34,43.58,7.57,34.88,watermelon
123,87,11,15.61,24.84,8.83,62.37,watermelon
84,136,106,16.05,62.95,8.26,195.31,watermelon
86,29,95,43.76,83.09,7.25,106.41,watermelon
11,143,199,42.03,84.4,7.19,294.56,watermelon
84,96,32,16.77,91.61,9.02,104.52,watermelon
15,67,48,16.57,48.17,6.75,166.17,watermelon
133,29,137,19.82,58.22,3.8,250.92,watermelon
104,137,150,44.7,16.72,5.89,176.47,watermelon
52,131,156,14.41,85.54,4.49,288.43,watermelon
103,30,88,21.62,52.81,8.58,25.88,watermelon
105,91,68,18.43,24.47,5.29,112.46,watermelon
133,50,14,39.38,35.43,8.56,53.4,watermelon
22,62,184,15.15,31.43,9.56,54.57,watermelon
82,114,145,36.77,71.56,7.88,273.17,watermelon
82,124,144,27.42,35.65,7.62,28.01,watermelon
45,76,55,32.66,25.44,7.63,226.33,watermelon
133,129,72,36.55,26.1,7.55,266.13,watermelon
71,136,200,33.34,62.04,7.8,266.85,watermelon
78,135,139,18.98,98.5,5.24,199.59,watermelon
71,63,46,35.84,61.71,4.82,197.89,watermelon
106,97,170,41.73,34.78,7.65,51.68,muskmelon
62,56,131,41.72,86.68,6.85,198.01,muskmelon
134,121,8,20.63,66.22,5.92,222.83,muskmelon
37,85,138,43.11,18.25,4.56,281.17,muskmelon
73,47,122,28.38,87.91,5.92,143.74,muskmelon
45,41,74,17.34,66.49,5.58,180.44,muskmelon
121,137,66,26.04,14.82,6.45,51.95,muskmelon
40,136,35,44.82,55.9,6.62,192.19,muskmelon
26,139,14,12.72,90.98,3.59,199.61,muskmelon
87,123,151,41.16,67.21,8.08,40.27,muskmelon
94,33,113,39.95,70.14,3.9,224.74,muskmelon
37,15,85,18.76,73.72,6.48,229.49,muskmelon
110,49,198,29.19,85.83,7.51,116.66,muskmelon
91,81,132,16.62,46.61,8.54,202.0,muskmelon
86,95,186,10.76,28.4,4.44,215.83,muskmelon
8,64,49,25.64,79.23,9.89,174.97,muskmelon
139,91,127,38.51,82.63,5.03,171.6,muskmelon
105,101,17,32.21,27.09,9.17,148.93,muskmelon
47,90,37,32.91,84.22,9.66,120.14,muskmelon
118,24,63,24.1,45.3,6.78,143.12,muskmelon
83,83,171,11.6,24.18,5.11,90.44,muskmelon
121,72,114,24.09,86.34,3.73,100.17,muskmelon
38,68,106,13.4,31.82,7.81,160.99,muskmelon
111,66,132,17.42,71.33,8.95,98.59,muskmelon
130,89,126,23.66,27.89,5.38,155.77,muskmelon
7,61,185,30.02,40.79,9.39,193.15,muskmelon
68,110,155,21.57,17.68,7.27,227.19,muskmelon
41,54,171,31.07,83.96,5.02,248.54,muskmelon
68,49,130,28.07,50.85,4.78,66.26,muskmelon
96,43,12,11.91,21.67,6.98,290.1,muskmelon
83,49,44,37.3,83.54,4.91,72.91,muskmelon
58,130,159,31.58,23.71,9.67,300.0,muskmelon
69,136,6,19.33,84.74,6.47,58.65,muskmelon
58,41,113,42.6,89.77,8.33,52.29,muskmelon
120,17,8,40.76,58.44,7.01,68.0,muskmelon
87,21,94,43.96,82.0,6.35,290.86,muskmelon
70,83,18,41.74,76.43,5.0,208.62,muskmelon
133,115,50,11.94,42.58,8.23,40.59,muskmelon
18,113,105,14.87,66.15,3.91,289.48,muskmelon
114,55,103,16.53,88.63,5.07,222.42,muskmelon
16,17,131,36.53,43.35,6.45,217.43,muskmelon
38,12,124,30.13,68.28,8.24,158.99,muskmelon
65,138,167,44.58,55.65,8.57,93.39,muskmelon
59,129,194,11.29,97.64,7.84,184.78,muskmelon
95,21,44,41.74,96.67,5.97,45.22,muskmelon
111,70,81,34.91,61.83,5.8,276.44,muskmelon
49,125,125,22.05,83.0,5.01,251.64,muskmelon
95,135,103,35.98,70.59,6.24,258.41,muskmelon
36,105,127,19.15,37.18,7.04,54.8,muskmelon
55,142,63,22.37,86.36,3.88,46.61,muskmelon
122,85,177,29.23,90.65,7.9,28.32,muskmelon
126,57,146,44.03,28.46,6.83,278.21,muskmelon
0,90,77,23.96,58.1,8.26,103.26,muskmelon
135,40,117,41.76,66.0,5.97,82.76,muskmelon
76,35,180,25.55,15.61,8.75,152.88,muskmelon
55,117,13,32.86,81.36,5.64,21.73,muskmelon
114,47,64,13.87,72.51,4.7,214.24,muskmelon
111,79,89,25.57,30.46,7.48,161.24,muskmelon
65,113,197,18.44,33.17,7.63,25.9,muskmelon
56,122,79,18.81,78.73,5.66,248.36,muskmelon
103,71,21,10.01,84.66,8.48,206.11,muskmelon
64,29,73,39.7,21.33,4.01,50.37,muskmelon
5,71,165,28.42,39.18,8.24,266.65,muskmelon
110,59,59,43.53,82.97,6.28,103.25,muskmelon
